"Depth","Cl","Ca","Fe","Cu","Br","Sr","S","K"
26.7,0.74933734369698,1.8185357471588,-0.759477153363563,-1.06730379190781,0.274406662604053,2.41893273894292,-1.37851636176979,-2.05591518536159
26.8,0.931755997254746,1.64520051787837,-0.242178297951962,-1.36140987382281,0.340493266283386,2.48607461046777,-2.08630575269733,-1.71363046741216
26.9,1.1022105850082,1.3601917046473,-0.287433862996973,-1.42017915803454,0.483171376601977,2.30601615127036,-1.89018278728028,-1.65379400921605
27,1.20668835612797,1.52002852519395,-0.388007274568932,-1.05705690354982,0.375757473204967,2.16372187146447,-2.0221377995934,-1.79899424827919
27.1,1.0368451416104,1.97102794874495,-0.487796234163628,-1.34873687095462,0.129365039418395,1.85150487436869,-1.34873687095462,-1.80347302806957
27.2,1.002223301087,1.92332173452926,-0.414654483404969,-0.974270271340392,-0.0711088309080295,1.89226901118767,-1.64591124667937,-1.71186921447117
27.3,0.984773733946781,1.90479581343379,-0.692322826961134,-1.11036671727616,0.0295737668847974,1.86555027067369,-1.50952265619106,-1.47248138451071
27.4,0.988937806317728,2.10217261385338,-0.296260437930794,-1.29902476780878,-0.184412137794225,2.21971667233095,-1.40080746211872,-2.13032228684954
27.6,0.908804214153646,2.22272916055542,-0.679027919565872,-1.1847773903,-0.231215263628616,2.22691326707799,-1.32011873816976,-1.9433073301228
27.7,1.01250773338619,2.17886367414082,-0.50205785957314,-1.81112087275704,0.0116832181529752,2.4323424252511,-1.39668709466612,-1.92553122393478
27.8,0.894121612375067,2.73943718607208,-0.118173021148785,-2.55102330898073,-0.488020493644056,2.17443883996651,-0.460770851196681,-2.1900099634434
28,0.756790045423127,2.68982096247831,-0.0428040170068651,-3.02414755310876,-0.498418908800501,2.43816978850457,-0.588031067490188,-1.73137924999969
28.1,0.560518014690137,2.37524404503824,-0.434553595037133,-1.3673736288625,-0.738764969440124,2.99200257737606,-1.3673736288625,-2.01969881490219
28.2,0.781631298473631,2.10910763931072,-0.734386538674561,-0.995400364044181,-0.403722643649095,3.00070575859451,-1.42753371923451,-2.33040143077652
28.3,0.882814223420898,2.11548519183358,-0.610248113124698,-1.7818855368077,0.0687144324432905,2.85636768414447,-1.65405216529781,-1.87719571661202
28.4,0.824032512516532,2.13362895577507,-0.628751589872192,-1.75268168652459,-0.198593869173656,2.49636285518153,-1.29720615784177,-1.57679102006093
28.5,0.885824800539242,2.41997732097708,-0.235711128030805,-1.68480639038973,-0.345914268164419,2.65851791526512,-1.42529519490464,-2.27259305529184
28.6,0.713272960276495,2.49852985201698,-0.57771122103907,-1.84062656099846,-0.393707578062131,2.62075573219792,-0.983176329147235,-2.03733685524451
28.7,0.756721305068629,2.55027128507047,0.235990152313235,-2.67726589941652,-0.0869987339706905,2.29428200597169,-1.31202494749446,-1.76097516754236
28.8,0.660655303201864,2.5221224598822,-0.0575558460212972,-1.55656994084102,-0.528575219386868,2.05311871534847,-0.971311722292264,-2.12188374989109
