"PC1","PC2","Depth","Facies"
-1.25303020458397,0.246663155361012,5.12,"ZC2A"
-0.952966834909329,0.966295586600917,5.14,"ZC2A"
-0.57708925077171,0.06414310793056,5.16,"ZC2A"
-0.579780983849175,0.590237276125447,5.18,"ZC2A"
-0.680517842138254,0.0361545840183465,5.2,"ZC2A"
-1.48560578559466,-0.040904028132362,5.22,"ZC2A"
-0.738519738981429,-0.267375650919084,5.24,"ZC2A"
-0.350310101486627,0.358256792928803,5.26,"ZC2A"
-0.544735662693299,-0.276547356325808,5.28,"ZC2A"
-1.87206243389094,0.158426628232974,5.3,"ZC2A"
-1.18851378088837,-1.15390495908022,5.32,"ZC2A"
-1.29655690433286,-1.07244455973566,5.34,"ZC2A"
-1.38258804529808,-1.49333792561141,5.36,"ZC2A"
-1.7294876068802,-1.5028915230683,5.38,"ZC2A"
-1.80318554160523,-1.51186569656814,5.4,"ZC2A"
-1.93797103632587,-1.27201805645728,5.42,"ZC2A"
-2.15644091749081,-1.13136393921793,5.44,"ZC2A"
-1.80423633308951,-1.24659134069736,5.46,"ZC2A"
-1.65919932111986,-0.851069321558504,5.48,"ZC2A"
-2.05428721778225,-0.49779381779399,5.5,"ZC2A"
-1.51375043053771,-0.680673812676195,5.52,"ZC2A"
-2.29290436322093,-0.420830140816161,5.6,"ZC2A"
-4.26590371639751,-2.05755416848292,6.82,"ZC2A"
-4.15328379001705,-1.73454283450065,6.84,"ZC2A"
-2.65879610827327,-1.34605291741719,6.86,"ZC2A"
-2.66348706020875,-1.77200153055008,6.9,"ZC2A"
-2.64765578287045,-2.08442836297158,6.92,"ZC2A"
-4.30733721799146,-1.44286290208429,6.94,"ZC2A"
-3.6974384366558,-2.37160271798357,6.96,"ZC2A"
-3.62589670534564,-2.44240216996795,6.98,"ZC2A"
-4.08357380464808,-1.54345667036754,7,"ZC2A"
-3.39100207126629,-1.95816479737879,7.02,"ZC2A"
-3.12521928627434,-1.39968283837075,7.04,"ZC2A"
-3.48669919090009,-1.55282228792694,7.06,"ZC2A"
-3.23711737530951,-1.54844281779284,7.08,"ZC2A"
-3.42546693967604,-0.997979778769834,7.1,"ZC2A"
-3.13167941211804,-1.71290174376036,7.12,"ZC2A"
-3.03376509222778,-2.05793164076625,7.14,"ZC2A"
-3.20866162805205,-1.40493556347284,7.16,"ZC2A"
-2.55302967609104,-1.46112452959994,7.18,"ZC2A"
-2.54363590111299,-0.904869778719333,7.2,"ZC2A"
-1.79003141275192,-0.505542436766571,7.22,"ZC2A"
-1.32294554646227,-0.569998945710332,7.24,"ZC2A"
-1.68682161388252,-0.174500076994906,7.26,"ZC2A"
-1.53635712843873,-0.398536203859104,7.28,"ZC2A"
-1.69938897002163,-0.82774425920097,7.3,"ZC2A"
-1.30509980407029,-0.482989213924898,7.32,"ZC2A"
-2.14179508879336,-1.02572828018826,7.34,"ZC2A"
-2.396598530961,-0.6324693842836,7.36,"ZC2A"
-2.3569809399177,-0.701220405412276,7.38,"ZC2A"
-2.43102792271225,-0.582367963497384,7.4,"ZC2A"
-1.84518483643589,-0.982323216694227,7.42,"ZC2A"
-1.2839034350423,-1.26268808687161,7.44,"ZC2A"
-1.90686734741079,-0.771759103054977,7.46,"ZC2A"
-1.97305747581568,-0.436535983758134,7.48,"ZC2A"
-1.64872691210274,-0.835621908793364,7.5,"ZC2A"
-1.27115739245021,-0.886582180956177,7.52,"ZC2A"
-1.82700465591097,-0.96431686359702,7.54,"ZC2A"
-1.66512140764521,-1.14822165301101,7.56,"ZC2A"
-1.49265509751734,-0.697941308448917,7.58,"ZC2A"
-1.2773072908023,-0.48676200764218,7.6,"ZC2A"
-1.38602709311922,-1.04956557726478,7.62,"ZC2A"
-1.33660788847119,-0.78846688463934,7.64,"ZC2A"
-1.5102341158999,-0.769848811647592,7.66,"ZC2A"
-1.50045324513557,-0.209685634015377,7.68,"ZC2A"
-1.5114964915224,-0.748394443954226,7.7,"ZC2A"
-1.6570371341872,-1.03295590056507,7.72,"ZC2A"
-1.50575106694279,-0.973914944014576,7.74,"ZC2A"
-1.69430078222159,-0.80109260311083,7.76,"ZC2A"
-0.87865436129138,-0.586222506810602,7.78,"ZC2A"
-0.67914371728923,-0.502745267609339,7.8,"ZC2A"
-1.4057237976317,-0.65252944215552,7.82,"ZC2A"
-0.675013881981468,-0.588174148528888,7.84,"ZC2A"
-0.670820325622866,-0.567839292301366,7.86,"ZC2A"
-0.17162604638436,-0.474071426847349,7.88,"ZC2A"
-0.589503395900384,-0.581286775728852,7.9,"ZC2A"
-1.35704817295729,-1.01179347716848,7.92,"ZC2A"
-1.42968689219487,-0.966735956490627,7.94,"ZC2A"
-1.49984554941561,-0.730250224752369,7.96,"ZC2A"
-1.53114272721917,-0.87093842525423,7.98,"ZC2A"
-1.77178025923774,-0.329130143029847,8,"ZC2A"
-0.93927827839847,-0.216909919209849,8.02,"ZC2A"
-1.56739267047517,-0.80937220053692,8.04,"ZC2A"
-2.45505453395734,-0.60917668668401,8.06,"ZC2A"
-2.19803292606144,-1.15565630889474,8.08,"ZC2A"
-2.27995812630536,-1.08327923098796,8.1,"ZC2A"
-2.54011366025838,-0.631245571960403,8.12,"ZC2A"
