-58.4445,50.3058,8.06634,4.07607,50.5427,23.5129,2.8933,36.6204,22.4231,28.0154,133.999,205.656,24.2773,7.65457,16.9726,2.11892,6.7248,28.9304,4.17057,2.06532,24.0448,0.0252409,108.136
-69.6849,57.3962,23.9769,3.1507,47.6121,53.8113,2.14519,1.93601,15.5252,15.6649,193.573,173.212,11.4592,7.42376,22.6389,3.09888,7.09698,6.53387,3.62026,4.47236,22.2254,0.0419683,105.522
-68.1631,53.7843,23.9769,7.4985,46.9464,44.8152,3.4851,1.93601,18.5448,24.3294,193.573,173.212,8.29517,6.72851,18.1958,8.88057,16.3549,3.83386,3.91577,7.76056,4.87482,0.0244825,103.824
-68.0719,55.2036,21.5826,6.83989,45.5973,44.8152,4.46934,1.93601,18.5448,24.3294,188.016,178.354,5.00265,3.77705,24.3667,11.9496,4.32595,1.31951,4.37884,7.76056,3.04205,0.0143599,101.858
-68.0719,55.2036,21.5826,6.83989,48.8721,44.8152,5.3373,1.93601,14.9127,24.3294,188.016,178.354,5.00265,2.96155,24.3667,11.9496,6.89541,3.01405,9.66562,7.76056,2.69087,0.0147862,101.484
-68.1316,57.8167,17.082,8.10979,48.8721,39.906,1.86108,1.93601,23.6145,24.3294,188.016,178.354,6.46936,3.56573,24.3478,10.2282,4.37795,4.44032,9.50915,12.3175,5.96359,0.00931199,102.516
-68.7909,58.7128,19.5924,8.82391,48.8721,34.054,9.55307,4.7646,24.2944,22.8083,188.016,168.455,3.70477,7.06756,23.4857,9.45149,6.53949,5.25179,9.12543,7.06397,6.47577,0.00495854,101.8
-65.1013,40.5555,29.4278,17.4474,38.8465,32.2124,4.19014,16.5892,24.2944,14.39,183.579,168.455,3.70477,13.0286,16.3912,11.785,6.28056,11.1769,15.1968,2.47963,6.12065,0.00365369,102.671
-65.1013,37.2701,31.82,23.8159,43.9595,7.14898,4.19014,19.2946,41.6158,11.9747,183.579,168.455,2.55438,1.957,1.11894,12.5694,12.1774,13.0442,15.1968,1.79514,4.76037,0.00104614,105.299
-55.3644,38.1438,37.5014,27.178,43.9595,2.42679,0.893113,19.2946,37.3865,7.55124,202.715,168.455,7.46781,5.54927,3.09599,18.8227,7.5143,13.5914,6.99804,10.9604,5.36569,0.00141031,101.609
