"Depth","S","Cl","K","Ca","Fe","Cu","Br","Sr","Facies"
14.44,-0.870778688538292,1.49007531257973,-1.33811920036454,1.86704604126515,-0.261013116917397,-3.10882526039477,0.249812506848593,1.97180240552152,"ZC2A"
14.46,-1.55409864644159,1.36713109981448,-1.60674237992701,1.78540516621523,-0.48146184417674,-2.08216607664209,0.409960821119402,2.16197186003832,"ZC2A"
14.48,-1.5662554716351,1.1293140682435,-1.49881419083957,1.5872753053899,-0.41480070159261,-1.20032120228357,0.101890041625779,1.86171215109166,"ZC2A"
14.5,-1.71038179234112,1.29953511620482,-1.54607874104985,1.59990049885093,-0.0453740287522133,-2.20937295846011,0.634167499751953,1.9776044057956,"ZC2A"
14.52,-1.67098710207067,1.31736506418569,-1.83005179670036,1.46066341918391,-0.0382923274723065,-1.28532462125869,0.236374376867404,1.81025298726502,"ZC2A"
14.54,-0.981082356445421,1.23781489578969,-1.68841417199732,1.90615460264537,-0.267028491066162,-1.94792536748241,-0.0676125009129077,1.80809338946916,"ZC2A"
14.56,-1.2471448350643,1.30513721719647,-1.82049081581162,2.00322965686327,-0.204622013047231,-2.16343556693845,0.230318913193886,1.89700744360797,"ZC2A"
14.58,-1.44740685547184,1.33296400721,-1.79224734176356,1.76394070297557,-0.125651015489516,-1.82210030491325,0.238220195319812,1.85228061213278,"ZC2A"
14.6,-1.22482090821139,1.33369755891985,-1.63028601631956,1.86014249907054,-0.0410508112029784,-2.37472649126705,0.206287468698288,1.87075670031231,"ZC2A"
14.62,-1.56641969676427,1.3743405535447,-1.56641969676427,1.87280508048712,0.0614519173586653,-1.99541530228263,-0.0343149877333432,1.85397213215403,"ZC2A"
14.64,-1.30272407125792,1.24513085284432,-1.88375395369716,1.66812489355824,0.149167572347785,-2.01296568517717,0.289619407816881,1.84740098356502,"ZC2A"
14.66,-1.39318084740726,1.15235042419717,-1.72342253427784,1.62036064635791,0.158363086607935,-1.72342253427784,0.206837843110346,1.70211391568958,"ZC2A"
14.68,-1.59279629992665,1.40633926675905,-1.28264137162281,1.45712280496893,0.536517071793361,-2.60439721160513,0.29289498913561,1.78696075049764,"ZC2A"
14.7,-1.75218678593452,1.2353726458636,-1.33899963173245,1.07002232053068,0.381015932636767,-1.52440285506381,0.288731473748979,1.64044689995076,"ZC2A"
14.72,-1.29105660472758,1.35019611545112,-1.70424375892965,1.41185219687421,0.34269861535723,-2.13323936444801,0.324516296274039,1.69927650414864,"ZC2A"
14.74,-1.51837677195477,1.42377125546511,-1.1423255490529,1.53746848359892,0.415033214336311,-3.04443307544982,0.418172934340978,1.91068950871618,"ZC2A"
14.76,-1.76435663550089,1.38731043967386,-1.39279307906841,1.20733906022486,-0.10612855889736,-1.5614157915042,0.515471470370537,1.71457309470162,"ZC2A"
14.78,-1.44845053299535,1.34904472845879,-1.59968150271927,1.72520768587956,-0.315352068256072,-1.57947879540176,0.103209578771938,1.76550090626217,"ZC2A"
14.8,-1.09471428886923,1.27778279332353,-1.60937868894239,2.16249768474252,-0.618979984914512,-1.97710346906771,0.059778458193334,1.80011749553446,"ZC2A"
14.82,-1.6476960150462,1.32845809581347,-1.53218312792435,1.99096368208871,-0.42752852480028,-1.85063685904289,0.21305632566881,1.92556642324272,"ZC2A"
14.84,-1.36241715261148,1.53077548162633,-1.0832457698276,2.10754708629777,-0.146649771792703,-3.24273001918098,0.0734741496477864,2.12324599584087,"ZC2A"
14.86,-1.28781568430108,1.40294301969107,-1.6242879209223,2.07057360486919,-0.263311367786694,-2.27821438832896,0.209892264189712,1.77022047258906,"ZC2A"
14.88,-1.40634229512228,1.25491574447317,-1.40634229512228,1.74822355391845,-0.326961368382061,-1.54396367299833,-0.0380664395050706,1.71853677273841,"ZC2A"
14.9,-1.4795914433692,1.40606109859531,-1.33762118209882,1.68064930464852,-0.149957115814805,-2.0913929844752,0.309339169658373,1.66251315285581,"ZC2A"
14.92,-1.41418282999192,1.21738382789419,-1.47574072299135,1.79147164843814,-0.371851377222395,-1.49174106433779,0.224668967648478,1.51999155056264,"ZC2A"
14.94,-2.08410769983797,1.47124036165144,-1.81584371324329,1.58926756774,-0.0488994131349631,-1.55801460394119,0.631605374009806,1.81475212675618,"ZC2A"
14.96,-2.60001732391153,1.52481025503565,-1.45488501960853,1.30195534566311,-0.208636732134354,-1.06468738363115,0.627393403406507,1.8740674551803,"ZC2A"
14.98,-1.99083890509924,1.36256781272656,-1.24890156036987,1.3025257717597,-0.286090812860819,-1.42174437320928,0.480081502714016,1.80240056433893,"ZC2A"
15,-1.53712518575549,1.32453646625824,-1.36428237291608,1.40033817967452,-0.214112274583121,-1.59539409387947,0.285596509076531,1.70044277212486,"ZC2A"
15.02,-1.52426632949483,1.42437433652531,-1.46599742137085,1.37495504367832,-0.294625778420313,-1.60764793843388,0.277443470586396,1.81576461692984,"ZC2A"
15.04,-1.21921287903058,1.24159621917836,-1.50257529033785,1.51025141657545,-0.259713392825189,-1.778828666966,0.280526116147095,1.72795647725872,"ZC2A"
15.06,-1.60235874394519,1.28132402580018,-1.64318073846544,1.42001546055523,-0.294025924295008,-1.26588650732397,0.24136046421358,1.86275196346062,"ZC2A"
15.08,-1.42884581286902,1.20452645311163,-1.5466288485254,1.52722120429254,-0.453986726843797,-1.44484615421546,0.41948400784743,1.72307587720208,"ZC2A"
15.1,-1.53123039232409,1.24589348508108,-1.51321188682141,1.45903240542536,-0.291539505396076,-1.23449848435239,0.194777699341183,1.67077667904635,"ZC2A"
15.12,-1.48596856571098,1.48387593689088,-1.00217161433291,1.70038406745166,0.0254889383629132,-2.72768169801977,0.208627155063424,1.79744578029479,"ZC2A"
15.14,-1.7751796333641,1.28587210631053,-1.59285807657015,1.77011809227181,-0.27110223658783,-1.2896718175824,0.119437221303658,1.75338434421849,"ZC2A"
15.16,-1.07348048726384,1.24848088469334,-1.45213433792135,1.91734848036163,-0.520095249079055,-1.88169699760857,0.0251318014042678,1.73644590541358,"ZC2A"
15.18,-1.48273967357903,1.2012956513193,-1.44940325331144,1.84946483659617,-0.256972209425677,-1.35558449809379,-0.184998709800588,1.67893785629505,"ZC2A"
15.2,-1.15572808717733,1.05455305546131,-1.79650728221996,1.93872983668834,-0.331741305658578,-1.30630094565671,0.00876590617481375,1.58822882238812,"ZC2A"
15.22,-0.680866879047758,0.982911628086423,-2.05425783533174,2.07823849285474,-0.481377518631438,-1.27516822497107,-0.000791780055165845,1.43131211709602,"ZC2A"
15.24,-0.902997391995952,1.12421888877967,-1.5032508256632,1.89309610186521,-0.500486495785219,-1.78023760899823,0.0221039695603584,1.64755336223737,"ZC2A"
15.26,-1.04800912124396,1.19344249956102,-1.91883747904136,1.94130726561812,-0.214089386802935,-1.69569392772715,-0.0385246124718602,1.78040476210812,"ZC2A"
15.28,-0.742742703576205,1.1878805235822,-2.17429365628422,2.06836447712492,-0.282744716447791,-2.2920766919406,0.355869585091904,1.87974318244979,"ZC2A"
15.3,-1.19155459819095,1.20166776890803,-1.65644312676992,1.81438184553728,0.0575386414154536,-1.99291536339113,0.0124182061349842,1.75490662635626,"ZC2A"
15.32,-1.62419888869858,1.14327473287443,-1.82713973269527,1.82026647321209,0.0674771219724899,-1.64481817590132,0.214080596164365,1.8510578730718,"ZC2A"
