-64.3797,8.49016,18.0562,27.9316,6.34386,18.6555,1.85704,9.56233,1.43735,11.1454,3.01548,6.54841,10.0395,15.9917,0.0129036,8.19776,9.48668,6.61927,6.02336,10.4469,20.2553,5.90867,34.7688,9.67877,10.2201,5.7918,0.144335,71.8824
-53.28,11.1767,18.1327,28.3757,4.79724,6.75001,10.0924,10.1292,1.43735,12.0759,8.0866,4.37527,7.27874,15.7165,4.73316,6.30928,3.16521,3.53701,5.67917,12.1317,20.2553,2.43869,24.6311,13.7784,4.59225,0.184661,0.14802,64.4239
-51.1981,16.308,18.1327,28.3757,1.01059,7.30204,13.4417,10.5652,4.66258,12.1325,3.96121,1.80603,6.4925,7.10282,9.63451,4.657,3.16521,10.1271,8.07837,10.5475,11.0473,27.2502,42.7768,7.11311,28.6568,0.344555,0.101023,67.6515
-52.116,9.84706,18.694,28.9156,2.13731,10.1984,13.4417,8.75343,2.80413,17.1475,0.830515,1.90358,7.98631,3.212,12.2572,6.45806,3.16521,10.733,4.00205,11.3031,17.0308,16.2441,31.689,14.4756,11.4772,4.37571,0.189058,66.1537
-57.4707,9.84271,15.6339,4.66787,4.40857,12.5888,14.9901,8.33662,0.960813,11.7891,20.1105,11.418,7.14226,4.34068,12.5485,4.87629,7.30991,12.2088,3.23285,12.7051,10.3575,13.2851,43.4368,26.1066,18.1524,2.81705,0.18782,67.8986
-57.9083,11.3574,16.1156,4.66787,5.21881,18.2049,16.5346,8.30237,1.49822,7.5964,14.634,10.7343,6.17952,2.10807,12.5485,5.36731,7.30991,11.7609,5.84224,12.9362,9.47768,18.7189,9.38484,14.8682,27.7514,0.76669,0.194671,67.9246
-54.4175,4.79759,16.2875,9.98254,3.68505,12.8112,16.5346,8.90745,1.2001,5.33555,20.1064,13.6881,6.42973,2.72778,13.3466,6.31691,7.30991,9.78295,12.011,11.8669,6.55419,0.43126,7.04278,1.72574,27.3998,1.04757,0.137377,70.637
-59.2727,2.2885,21.5606,7.63893,9.17591,6.65396,18.7566,10.3552,1.38927,6.59967,15.1946,12.6689,5.69824,20.0374,0.0294949,1.33191,2.8227,8.42436,12.3249,12.0482,16.463,13.4051,24.942,14.7881,12.3926,10.8947,0.134217,66.7472
-63.9653,3.48631,18.2863,8.99608,4.63701,8.0855,26.9705,12.8774,1.38927,5.78817,8.71971,15.531,5.90969,30.356,2.41439,1.82967,5.67387,10.1043,2.56301,8.2555,12.8096,10.4109,8.11908,25.4518,10.1712,19.1363,0.239489,68.4046
-61.4349,3.24933,16.6966,12.8304,4.63701,7.46777,28.6896,13.8667,1.44544,5.28066,5.8356,14.2077,4.83647,29.4524,2.70494,0.292471,3.58105,10.9213,5.83308,8.2555,12.749,8.69141,8.85526,0.788118,22.356,5.32448,0.196963,69.6248
-75.2755,0.949912,13.2943,16.8827,12.0491,8.70009,29.2293,13.7532,2.40418,3.94789,5.57803,6.75322,3.64058,22.0985,10.1092,5.18648,2.18823,0.957165,5.26843,16.2371,14.4019,6.56348,55.8844,3.77965,29.6902,10.6254,0.138148,70.2323
-71.6019,1.49347,12.4211,14.401,14.6142,10.0824,22.8079,18.1773,5.36791,7.94836,5.11734,5.01584,4.42787,22.9882,10.1089,5.18648,2.78995,1.73685,1.5427,17.8755,10.9257,10.4909,36.3639,5.54446,32.1108,23.2557,0.102786,69.1918
-62.4056,7.3112,13.3319,0.867749,15.108,13.8433,22.6823,18.7976,12.4052,6.17529,0.819128,5.08514,3.07649,6.24475,9.62494,6.97106,9.81209,0.668245,17.5488,18.475,11.6467,10.4544,42.2675,0.515288,4.77303,26.3836,0.0496395,66.0387
-56.8285,7.3112,14.8358,6.26162,16.3837,14.0433,14.1197,17.11,9.00289,10.6592,1.32476,2.91591,5.97306,5.78104,6.82566,2.82339,10.3514,1.02644,17.3047,16.1208,10.3021,23.0518,42.2675,4.47539,2.5539,24.1309,0.0260333,64.0875
-42.9224,6.01369,13.8708,4.6607,16.3837,14.0433,16.2798,17.5839,6.2431,12.0519,0.679407,6.85799,6.85516,1.772,6.53526,3.59666,6.04565,11.1436,14.4119,16.5957,4.95486,30.5008,21.5522,19.4626,5.54142,9.02582,0.0120948,63.0815
-47.6651,9.08629,14.5186,1.41447,14.2635,5.38115,16.66,23.0374,7.37094,11.9352,0.373864,5.09485,10.3615,1.772,4.01477,4.16737,11.348,14.1677,23.2712,12.3308,3.01807,2.05905,19.6684,18.8726,4.11872,11.676,0.0147296,64.5292
-38.6756,9.17148,12.2834,1.41447,14.2635,5.96489,16.66,25.4096,8.68418,13.1396,0.548412,4.52742,11.1409,1.772,5.06259,5.85156,10.336,11.8115,19.6149,9.43221,4.17278,0.900665,18.9922,23.4644,5.109,3.4326,0.0187085,64.5518
-54.5999,10.5369,12.2834,1.41447,14.2635,5.83834,14.5231,27.986,9.06581,13.9171,0.265577,3.5677,9.46577,1.772,4.71596,9.57245,8.56049,12.116,19.6149,7.37793,7.31386,3.46141,19.7884,28.4327,6.31707,2.80128,0.0113575,61.783
-63.2952,16.8882,13.6795,2.75298,8.3054,7.48397,12.4704,24.8,5.88264,18.3271,2.30007,5.35952,12.0036,1.772,1.98948,6.78941,6.42204,4.8178,20.2334,8.50826,12.134,18.6263,15.7293,24.3691,2.8411,3.07119,0.0123216,59.5276
-63.2952,15.9499,12.8582,2.75298,9.77185,3.96349,12.4704,24.8,5.88264,17.05,1.34159,8.17664,12.9795,3.48171,2.68863,13.4867,12.1623,3.0599,11.6324,8.50826,8.87571,20.1753,15.7293,25.2384,0.30637,1.55195,0.0123216,63.8073
-62.0667,21.6658,13.2446,2.75298,7.49642,6.36187,9.28835,24.8,9.42382,14.977,0.754225,7.65159,7.1953,3.48171,9.44781,9.56231,1.28208,3.0599,9.62183,8.50826,9.78536,20.3732,17.732,10.2526,1.56319,4.95756,0.0504911,62.8146
-65.9825,14.4912,13.5011,7.96603,7.75019,6.36187,9.1196,24.8,11.6978,16.1386,1.4738,3.75352,15.9522,1.60478,9.51744,9.56231,2.11089,3.0599,17.267,7.33259,12.4426,9.25875,17.7196,6.91436,4.43285,6.30087,0.043591,60.0378
